ano_mes,setor,ret_setor,n_empresas,data
2011-03,Comunicações,0.04485546925416273,1,2011-03-31
2011-03,Consumo Cíclico,0.016257252274438867,60,2011-03-31
2011-03,Consumo não Cíclico,-0.013651412639113965,15,2011-03-31
2011-03,Financeiro,0.03634995186618319,51,2011-03-31
2011-03,Materiais Básicos,-0.03497184281722768,32,2011-03-31
2011-03,Outros,-0.03848052056806406,2,2011-03-31
2011-03,"Petróleo, Gás e Biocombustíveis",-0.019350608654269314,7,2011-03-31
2011-03,Saúde,0.05717187532835579,10,2011-03-31
2011-03,Tecnologia da Informação,-0.06361559662379002,6,2011-03-31
2011-03,Utilidade Pública,0.02735628046927773,34,2011-03-31
2011-04,Bens Industriais,0.026692130345392542,36,2011-04-30
2011-04,Comunicações,-0.3165655961398919,1,2011-04-30
2011-04,Consumo Cíclico,0.053362698069206946,60,2011-04-30
2011-04,Consumo não Cíclico,-0.004711534021973896,15,2011-04-30
2011-04,Financeiro,0.002876152220870565,52,2011-04-30
2011-04,Materiais Básicos,-0.0005078880240353513,33,2011-04-30
2011-04,Outros,0.16823611831060648,2,2011-04-30
2011-04,"Petróleo, Gás e Biocombustíveis",-0.12368593741606958,7,2011-04-30
2011-04,Saúde,-0.007090966337205992,11,2011-04-30
2011-04,Tecnologia da Informação,0.002548028926389797,6,2011-04-30
2011-04,Utilidade Pública,0.039742576494765744,34,2011-04-30
2011-05,Bens Industriais,-0.03002593253791216,35,2011-05-31
2011-05,Comunicações,0.0031721739437973184,1,2011-05-31
2011-05,Consumo Cíclico,0.016462491123545142,60,2011-05-31
2011-05,Consumo não Cíclico,-0.056065594159433206,16,2011-05-31
2011-05,Financeiro,0.015499096126831575,52,2011-05-31
2011-05,Materiais Básicos,-0.029058120155184535,32,2011-05-31
2011-05,Outros,-0.07707533991362925,2,2011-05-31
2011-05,"Petróleo, Gás e Biocombustíveis",-0.009706598922977872,7,2011-05-31
2011-05,Saúde,0.008302614037982653,11,2011-05-31
2011-05,Tecnologia da Informação,-0.048541419049436575,6,2011-05-31
2011-05,Utilidade Pública,-0.012055885625494473,35,2011-05-31
2011-06,Bens Industriais,-0.01801317461569815,37,2011-06-30
2011-06,Comunicações,-0.10834793271974918,1,2011-06-30
2011-06,Consumo Cíclico,-0.0024116940145425553,62,2011-06-30
2011-06,Consumo não Cíclico,-0.0065308805071770575,15,2011-06-30
2011-06,Financeiro,-0.005194023786068727,49,2011-06-30
2011-06,Materiais Básicos,-0.00028477106550923065,31,2011-06-30
2011-06,Outros,-0.2766833030689566,2,2011-06-30
2011-06,"Petróleo, Gás e Biocombustíveis",-0.02739597733706797,7,2011-06-30
2011-06,Saúde,-0.058929876258628285,12,2011-06-30
2011-06,Tecnologia da Informação,-0.008412893556117814,6,2011-06-30
2011-06,Utilidade Pública,0.0018355207316085888,34,2011-06-30
2011-07,Bens Industriais,-0.05389602827282853,36,2011-07-31
2011-07,Comunicações,0.005373779961156622,1,2011-07-31
2011-07,Consumo Cíclico,-0.058320980692746,63,2011-07-31
2011-07,Consumo não Cíclico,0.019318068297412228,15,2011-07-31
2011-07,Financeiro,-0.04583240213309086,52,2011-07-31
2011-07,Materiais Básicos,-0.0037762539589852842,29,2011-07-31
2011-07,Outros,-0.004366839984377258,2,2011-07-31
2011-07,"Petróleo, Gás e Biocombustíveis",0.027632900471751803,7,2011-07-31
2011-07,Saúde,-0.050946536247860316,13,2011-07-31
2011-07,Tecnologia da Informação,-0.09451050448499725,6,2011-07-31
2011-07,Utilidade Pública,0.0005492465808676249,33,2011-07-31
2011-08,Bens Industriais,-0.06201233649015784,36,2011-08-31
2011-08,Comunicações,0.21363801994720388,1,2011-08-31
2011-08,Consumo Cíclico,-0.03942774044893187,63,2011-08-31
2011-08,Consumo não Cíclico,-0.04823121940990081,16,2011-08-31
2011-08,Financeiro,-0.005992714900493274,50,2011-08-31
2011-08,Materiais Básicos,-0.04438497556536509,31,2011-08-31
2011-08,Outros,0.2283698852244207,2,2011-08-31
2011-08,"Petróleo, Gás e Biocombustíveis",-0.008956108781686234,8,2011-08-31
2011-08,Saúde,-0.01327014657957783,13,2011-08-31
2011-08,Tecnologia da Informação,-0.03408349978554759,6,2011-08-31
2011-08,Utilidade Pública,-0.04441658393445503,35,2011-08-31
2011-09,Bens Industriais,-0.03645923605492937,36,2011-09-30
2011-09,Comunicações,0.2541022558230165,2,2011-09-30
2011-09,Consumo Cíclico,-0.1050130221862888,64,2011-09-30
2011-09,Consumo não Cíclico,-0.08651716371223375,16,2011-09-30
2011-09,Financeiro,-0.04835788959072709,52,2011-09-30
2011-09,Materiais Básicos,-0.06039047177089837,31,2011-09-30
2011-09,Outros,-0.28766344040490743,1,2011-09-30
2011-09,"Petróleo, Gás e Biocombustíveis",-0.03209062021509548,8,2011-09-30
2011-09,Saúde,-0.04722381467245977,14,2011-09-30
2011-09,Tecnologia da Informação,-0.023956181672971238,6,2011-09-30
2011-09,Utilidade Pública,-0.025338626648548718,31,2011-09-30
2011-10,Bens Industriais,0.03590998699113219,36,2011-10-31
2011-10,Comunicações,-0.008747717992007908,2,2011-10-31
2011-10,Consumo Cíclico,0.050713030342657936,65,2011-10-31
2011-10,Consumo não Cíclico,0.06912594494148244,16,2011-10-31
2011-10,Financeiro,0.041899549316266216,49,2011-10-31
2011-10,Materiais Básicos,0.05380054677388232,32,2011-10-31
2011-10,Outros,-0.04791138049224086,2,2011-10-31
2011-10,"Petróleo, Gás e Biocombustíveis",0.1063874826080283,8,2011-10-31
2011-10,Saúde,-0.0159270963249318,13,2011-10-31
2011-10,Tecnologia da Informação,-0.00499372397050583,6,2011-10-31
2011-10,Utilidade Pública,0.053505165383038365,32,2011-10-31
2011-11,Bens Industriais,-0.05121093564919291,36,2011-11-30
2011-11,Comunicações,0.03313988587595529,3,2011-11-30
2011-11,Consumo Cíclico,-0.041836859331923444,63,2011-11-30
2011-11,Consumo não Cíclico,-0.028091745915648263,16,2011-11-30
2011-11,Financeiro,-0.0016147108426226228,50,2011-11-30
