ticker,empresa_base,volume_total
PEAB4,PEAB,30278849.0
PETR4,PETR,4470893796317.0
PETZ3,PETZ,102296087206.0
PFRM3,PFRM,6724726583.0
PGMN3,PGMN,8811708332.0
PINE4,PINE,3115708407.0
PLAS3,PLAS,1527565141.0
PLPL3,PLPL,11197127553.0
PMAM3,PMAM,10157305533.0
PMET6,PMET,31204780.0
PNOR5,PNOR,5396489.0
PNVL3,PNVL,11795580798.0
POMO4,POMO,92366834478.0
PORT3,PORT,11015678504.0
POSI3,POSI,39665225165.0
POWE3,POWE,1873053940.0
PRBC4,PRBC,899091458.0
PRIO3,PRIO,577066648822.0
PRML3,PRML,2215420066.0
PRNR3,PRNR,4339861828.0
PRVI3,PRVI,603832601.0
PSSA3,PSSA,137773814805.0
PTBL3,PTBL,18926340757.0
PTNT4,PTNT,273369300.0
PTPA4,PTPA,16794127.0
QUAL3,QUAL,163809750373.0
RADL3,RADL,368547229801.0
RAIA3,RAIA,1692545748.0
RAIL3,RAIL,431846857931.0
RAIZ4,RAIZ,63414610504.0
RANI3,RANI,13220029450.0
RAPT4,RAPT,73471971744.0
RCSL3,RCSL,9167627861.0
RDCD3,RDCD,49185434388.0
RDNI3,RDNI,1596559158.0
RDOR3,RDOR,223686706229.0
RDTR3,RDTR,695817533.0
RECV3,RECV,52502670486.0
REDE3,REDE,88240698.0
REEM4,REEM,909785.0
RENT3,RENT,718331789697.0
RHDS3,RHDS,162537020.0
RIAA3,RIAA,31462765668.0
RIOS3,RIOS,41282.0
RJCP3,RJCP,162411035.0
RLOG3,RLOG,10975173171.0
RNEW11,RNEW,1348992099.0
ROMI3,ROMI,15208032950.0
RPAD5,RPAD,98402410.0
RPMG3,RPMG,5342289867.0
RSID3,RSID,37014898297.0
RSIP3,RSIP,35304494.0
RSUL4,RSUL,210447301.0
RVEE3,RVEE,7505679.0
SANB11,SANB,239306605219.0
SAPR11,SAPR,74845193952.0
SBFG3,SBFG,55573660393.0
SBSP3,SBSP,457638524922.0
SCAR3,SCAR,2810683583.0
SCLO4,SCLO,43223019.0
SEBB11,SEBB,512538027.0
SEDU3,SEDU,2451595110.0
SEER3,SEER,29600292357.0
SEQL3,SEQL,18224999502.0
SFSA4,SFSA,238283818.0
SGEN4,SGEN,7870582.0
SGPS3,SGPS,2123735241.0
SHOW3,SHOW,5146241300.0
SHUL4,SHUL,4944867617.0
SIMH3,SIMH,35532379005.0
SJOS4,SJOS,13298850.0
SLCE3,SLCE,98967065143.0
SLED4,SLED,4081577220.0
SMFT3,SMFT,61191237710.0
SMLE3,SMLE,36847405766.0
SMLS3,SMLS,38093658726.0
SMTO3,SMTO,92089700468.0
SNSY5,SNSY,282800351.0
SOJA3,SOJA,6555066406.0
SOMA3,SOMA,71099364154.0
SOND5,SOND,13352601.0
SPRI3,SPRI,98987033.0
SQIA3,SQIA,19839707112.0
SRNA3,SRNA,25964760037.0
STBP3,STBP,70857499831.0
STRP4,STRP,25290085.0
SULT4,SULT,48237443.0
SUZB3,SUZB,642412078401.0
SYNE3,SYNE,8535642982.0
SZPQ4,SZPQ,5191219.0
TAEE11,TAEE,164507082336.76
TAMM4,TAMM,15800656380.0
TASA4,TASA,29001385128.0
TCNO4,TCNO,685155194.0
TCSA3,TCSA,22430431644.0
TECN3,TECN,6346394455.0
TEKA4,TEKA,421204260.0
TELB4,TELB,13230358090.0
TEMP3,TEMP,997019445.0
TEND3,TEND,61461580450.0
TENE5,TENE,1981920.0
TERI3,TERI,1060617219.0
TESA3,TESA,895697308.0
TFCO4,TFCO,4706776195.0
TGMA3,TGMA,21857531655.0
TIET11,TIET,25041833999.0
TIMS3,TIMS,253758556336.0
TKNO4,TKNO,30583936.0
TMAR5,TMAR,3408436285.0
TNCP3,TNCP,29159596.0
TOKY3,TOKY,4208724006.0
TOTS3,TOTS,257887652643.0
TOYB4,TOYB,177861223.0
TPIS3,TPIS,6920421963.0
TRAD3,TRAD,5753268025.0
TRFO4,TRFO,499997.0
TRIS3,TRIS,15645344591.0
TROR4,TROR,13411.0
TRPN3,TRPN,742884537.0
TTEN3,TTEN,16553113117.0
TUPY3,TUPY,37947753327.0
TVIT3,TVIT,694650862.0
TXRX4,TXRX,132373060.0
UCAS3,UCAS,2129551908.0
UCOP4,UCOP,88061500.0
UGPA3,UGPA,349905670574.0
UNIP6,UNIP,32064908800.0
UOLL4,UOLL,486110519.0
USIM5,USIM,483964772912.0
VAGV4,VAGV,1016420.0
VALE3,VALE,3678688165384.0
VAMO3,VAMO,66022144484.0
VBBR3,VBBR,368386278956.0
VIGR3,VIGR,21351267.0
VINE5,VINE,1924929.0
VITT3,VITT,2517604446.0
VIVA3,VIVA,83561211982.0
VIVR3,VIVR,13405567890.0
VIVT4,VIVT,178248799885.0
VLID3,VLID,32816488096.0
VPSC4,VPSC,11640.0
VSPT3,VSPT,109267.5
VSTE3,VSTE,6580273771.0
VTRU3,VTRU,1331164265.0
VULC3,VULC,17584987733.0
VVEO3,VVEO,6395327426.0
WDCN3,WDCN,1752405683.0
WEGE3,WEGE,538962821207.0
WEST3,WEST,2449367887.0
WHRL4,WHRL,372050945.0
WISA4,WISA,22511610.0
WIZC3,WIZC,24403353550.0
WLMM4,WLMM,84025628.0
WMBY3,WMBY,2539.0
YDUQ3,YDUQ,235965424048.0
ZAMP3,ZAMP,27661578111.0
