variavel,coef,pvalor,subsetor,r2
delta_ipca_lag,0.012164299448640734,0.3448961742791111,Previdência e Seguros,0.1939878743282737
delta_selic_lag,-0.02693326431582323,0.02440858035362618,Previdência e Seguros,0.1939878743282737
ibc_var_lag,0.5651504010718192,0.11861204584296789,Previdência e Seguros,0.1939878743282737
var_dolar_lag,-0.7203426256843976,1.7440104746455889e-07,Previdência e Seguros,0.1939878743282737
const,0.0006715665485062632,0.9204022001304342,Produtos de Cuidado Pessoal e de Limpeza,0.24024410460034717
delta_ipca_lag,-0.03291345352076566,0.08991374332134117,Produtos de Cuidado Pessoal e de Limpeza,0.24024410460034717
delta_selic_lag,-0.07902807171155721,1.8796450950018166e-05,Produtos de Cuidado Pessoal e de Limpeza,0.24024410460034717
ibc_var_lag,-0.45495901338487055,0.3925485347508523,Produtos de Cuidado Pessoal e de Limpeza,0.24024410460034717
var_dolar_lag,-1.2552633929415253,1.0235156652441897e-09,Produtos de Cuidado Pessoal e de Limpeza,0.24024410460034717
const,0.002223175432175019,0.7189005178552113,Programas e Serviços,0.15659920260200366
delta_ipca_lag,-0.04308801163151784,0.015340834016438942,Programas e Serviços,0.15659920260200366
delta_selic_lag,-0.056428889791670045,0.000736117557121059,Programas e Serviços,0.15659920260200366
ibc_var_lag,0.12914146796399967,0.7957418164148786,Programas e Serviços,0.15659920260200366
var_dolar_lag,-0.6825975973598893,0.00024048870604391834,Programas e Serviços,0.15659920260200366
const,0.015021867805230852,0.012911499708582552,Químicos,0.14519654521538017
delta_ipca_lag,-0.03175905229452197,0.06565580730970642,Químicos,0.14519654521538017
delta_selic_lag,-0.05106443457388217,0.0015430682794140614,Químicos,0.14519654521538017
ibc_var_lag,-0.6857180160649129,0.14510633274476506,Químicos,0.14519654521538017
var_dolar_lag,-0.7539914141007727,1.9042851155577922e-05,Químicos,0.14519654521538017
const,0.006892963698300476,0.1722510810877756,"Serv.Méd.Hospit.,Análises e Diagnósticos",0.14368297143686937
delta_ipca_lag,-0.014908341733529127,0.3112708279855507,"Serv.Méd.Hospit.,Análises e Diagnósticos",0.14368297143686937
delta_selic_lag,-0.033769186630440026,0.013562542889216218,"Serv.Méd.Hospit.,Análises e Diagnósticos",0.14368297143686937
ibc_var_lag,-0.33582058520084346,0.40576600886215275,"Serv.Méd.Hospit.,Análises e Diagnósticos",0.14368297143686937
var_dolar_lag,-0.7137219964985015,1.9790345533142877e-06,"Serv.Méd.Hospit.,Análises e Diagnósticos",0.14368297143686937
const,-0.00848177157651207,0.2978075754089448,Serviços,0.1535004877652999
delta_ipca_lag,-0.06225292844451074,0.008038497492774703,Serviços,0.1535004877652999
delta_selic_lag,-0.043028627866402165,0.04781943577411469,Serviços,0.1535004877652999
ibc_var_lag,0.37578383544544713,0.5592764318587742,Serviços,0.1535004877652999
var_dolar_lag,-1.1827254552977733,1.4233932880847082e-06,Serviços,0.1535004877652999
const,0.011654064094506273,0.03305247358467821,Serviços Financeiros Diversos,0.22042704244120093
delta_ipca_lag,-0.03530121299899877,0.02383948567532498,Serviços Financeiros Diversos,0.22042704244120093
delta_selic_lag,-0.04751660333434633,0.001216908085710716,Serviços Financeiros Diversos,0.22042704244120093
ibc_var_lag,0.3654715154391525,0.40546841458897076,Serviços Financeiros Diversos,0.22042704244120093
var_dolar_lag,-0.8821906395967276,1.248663417411481e-07,Serviços Financeiros Diversos,0.22042704244120093
const,0.0036627308011592313,0.5221577764838469,Siderurgia e Metalurgia,0.20108953007829056
delta_ipca_lag,0.022678146099385177,0.16891749985253474,Siderurgia e Metalurgia,0.20108953007829056
delta_selic_lag,-0.03625942358982939,0.01783551650700424,Siderurgia e Metalurgia,0.20108953007829056
ibc_var_lag,0.20571649240845102,0.6608078263572872,Siderurgia e Metalurgia,0.20108953007829056
var_dolar_lag,-1.017122068596914,8.49895940146622e-09,Siderurgia e Metalurgia,0.20108953007829056
