ano_mes,data,ibov,ret_ibov
2017-11,2017-11-30,71971.0,-0.031955357427637665
2017-12,2017-12-29,76402.0,0.059745613738787284
2018-01,2018-01-31,84913.0,0.10561832907431956
2018-02,2018-02-28,85481.0,0.006666926110847626
2018-03,2018-03-29,85366.0,-0.001346233968032351
2018-04,2018-04-30,86115.0,0.008735717230267781
2018-05,2018-05-30,76754.0,-0.11507810991461831
2018-06,2018-06-29,72763.0,-0.05339791812731498
2018-07,2018-07-31,79220.0,0.08502120794799417
2018-08,2018-08-31,76678.0,-0.03261395677692924
2018-09,2018-09-28,79342.0,0.03415278731734439
2018-10,2018-10-31,87424.0,0.09700222177408335
2018-11,2018-11-30,89504.0,0.023513472511279332
2018-12,2018-12-28,87887.0,-0.01823141860162103
2019-01,2019-01-31,97394.0,0.10271270869039206
2019-02,2019-02-28,95584.0,-0.01875916507462172
2019-03,2019-03-29,95415.0,-0.0017696432348213165
2019-04,2019-04-30,96353.0,0.0097827320583459
2019-05,2019-05-31,97030.0,0.00700167817998576
2019-06,2019-06-28,100967.0,0.03977352174203297
2019-07,2019-07-31,101812.0,0.008334244582625772
2019-08,2019-08-30,101135.0,-0.006671717356809381
2019-09,2019-09-30,104745.0,0.0350725669610501
2019-10,2019-10-31,107220.0,0.023353973433282604
2019-11,2019-11-29,108233.0,0.00940351227061953
2019-12,2019-12-30,115964.0,0.06899348744184586
2020-01,2020-01-31,113761.0,-0.019180041659556224
2020-02,2020-02-28,104172.0,-0.08805637725462923
2020-03,2020-03-31,73020.0,-0.3553100029701799
2020-04,2020-04-30,80506.0,0.09759833958098518
2020-05,2020-05-29,87403.0,0.08219789120671805
2020-06,2020-06-30,95056.0,0.08393658459819164
2020-07,2020-07-31,102912.0,0.07940806250306132
2020-08,2020-08-31,99369.0,-0.035034060323228644
2020-09,2020-09-30,94603.0,-0.049151005764642264
2020-10,2020-10-30,93952.0,-0.006905174476580456
2020-11,2020-11-30,108888.0,0.14753581747777744
2020-12,2020-12-30,119306.0,0.09137179018746622
2021-01,2021-01-29,116007.0,-0.028041087103964912
2021-02,2021-02-26,110035.0,-0.05285203711177644
2021-03,2021-03-31,116634.0,0.058242329606532195
2021-04,2021-04-30,118894.0,0.019191513241835878
2021-05,2021-05-31,126216.0,0.05976238510528731
2021-06,2021-06-30,126802.0,0.00463208979424401
2021-07,2021-07-30,121801.0,-0.04023824932668063
2021-08,2021-08-31,118781.0,-0.025107103944696618
2021-09,2021-09-30,110979.0,-0.06794046725340763
2021-10,2021-10-29,103501.0,-0.06975971973011497
2021-11,2021-11-30,101915.0,-0.015442141958804001
2021-12,2021-12-30,104822.0,0.028124540984480362
2022-01,2022-01-31,112388.0,0.0696934966741587
2022-02,2022-02-25,113142.0,0.0066864967785083
2022-03,2022-03-31,119999.0,0.05883974244114931
2022-04,2022-04-29,107876.0,-0.1065009900649514
2022-05,2022-05-31,111351.0,0.03170495500552484
2022-06,2022-06-30,98542.0,-0.12220452111835023
2022-07,2022-07-29,103165.0,0.04584679500097977
2022-08,2022-08-31,109523.0,0.05980492462496123
2022-09,2022-09-30,110037.0,0.004682100009059553
2022-10,2022-10-31,116037.0,0.05309243289370613
2022-11,2022-11-30,112486.0,-0.031080336308741963
2022-12,2022-12-29,110031.0,-0.022066625185228617
2023-01,2023-01-31,113532.0,0.03132259123935732
2023-02,2023-02-28,104932.0,-0.07877221419620106
2023-03,2023-03-31,101882.0,-0.029497240457175167
2023-04,2023-04-28,104432.0,0.024720861035930852
2023-05,2023-05-31,108335.0,0.03669213626580792
2023-06,2023-06-30,118087.0,0.08619336277921263
2023-07,2023-07-31,121943.0,0.03213208150256541
2023-08,2023-08-31,115742.0,-0.052190146333462195
2023-09,2023-09-29,116565.0,0.007085481222329548
2023-10,2023-10-31,113144.0,-0.029787713611115763
2023-11,2023-11-30,127331.0,0.11812865144503881
2023-12,2023-12-28,134185.0,0.05242944965479346
2024-01,2024-01-31,127752.0,-0.049128560279465106
2024-02,2024-02-29,129020.0,0.009876546565529054
2024-03,2024-03-28,128106.0,-0.0071093848907963775
2024-04,2024-04-30,125924.0,-0.017179495847978288
2024-05,2024-05-31,122098.0,-0.030854549399196074
2024-06,2024-06-28,123907.0,0.01470728324820847
2024-07,2024-07-31,127652.0,0.029776527192174385
2024-08,2024-08-30,136004.0,0.06337648566173293
2024-09,2024-09-30,131816.0,-0.03127728631310944
2024-10,2024-10-31,129713.0,-0.016082693152547733
2024-11,2024-11-29,125668.0,-0.03168080879939339
2024-12,2024-12-30,120283.0,-0.04379620919144145
2025-01,2025-01-31,126135.0,0.047505462341222326
2025-02,2025-02-28,122799.0,-0.026803889595560904
2025-03,2025-03-31,130260.0,0.0589835807608452
2025-04,2025-04-30,135067.0,0.03623849850219685
2025-05,2025-05-30,137027.0,0.014407035081873687
2025-06,2025-06-30,138855.0,0.013252236484959212
2025-07,2025-07-31,133071.0,-0.04254740281805702
2025-08,2025-08-29,141422.0,0.06086550797811441
2025-09,2025-09-30,146237.0,0.033480264924882874
2025-10,2025-10-31,149540.0,0.02233532229954527
2025-11,2025-11-28,159072.0,0.061793014340491226
2025-12,2025-12-30,161125.0,0.012823531347089911
2026-01,2026-01-30,181364.0,0.11832560027676386
2026-02,2026-02-27,188787.0,0.040113333872403345
2026-03,2026-03-31,187462.0,-0.007043237204383601
2026-04,2026-04-15,197978.78125,0.0545837013437378
