data,ipca,dolar,selic,ibc_br,var_dolar,delta_selic,delta_ipca,ibc_var
2006-10-31,0.33,2.1483,13.95,82.91123,-0.009451077993357315,-0.22000000000000064,0.12000000000000002,0.01148533032539567
2006-11-30,0.31,2.1579,13.65,83.46222,0.004458694860416501,-0.29999999999999893,-0.020000000000000018,0.00664554126141903
2006-12-31,0.48,2.1499,13.19,84.50816,-0.0037141971293179754,-0.46000000000000085,0.16999999999999998,0.012531897665794212
2007-01-31,0.44,2.1385,13.13,84.22726,-0.005316680745138913,-0.05999999999999872,-0.03999999999999998,-0.00332393936869535
2007-02-28,0.44,2.0963,12.93,84.46413,-0.01993076269712668,-0.20000000000000107,0.0,0.0028122724163173185
2007-03-31,0.37,2.0887,12.74,83.87495,-0.003632023108565363,-0.1899999999999995,-0.07,-0.006975505460128484
2007-04-30,0.25,2.032,12.58,84.99403,-0.02752133316289873,-0.16000000000000014,-0.12,0.013342243423095868
2007-05-31,0.28,1.9816,12.43,85.78776,-0.025115930523222807,-0.15000000000000036,0.030000000000000027,0.00933865590324423
2007-06-30,0.28,1.9319,12.03,86.41046,-0.025400624576641495,-0.40000000000000036,0.0,0.007258611251768299
2007-07-31,0.24,1.8828,11.73,86.9192,-0.02574394407152103,-0.29999999999999893,-0.040000000000000036,0.005887481677565365
2007-08-31,0.47,1.966,11.43,87.10311,0.04324099118012459,-0.3000000000000007,0.22999999999999998,0.0021158731327486358
2007-09-30,0.18,1.8996,11.22,87.7938,-0.03435768403214512,-0.20999999999999908,-0.29,0.00792956761245378
2007-10-31,0.3,1.801,11.18,88.64377,-0.05330127149901065,-0.040000000000000924,0.12,0.009681435363317226
2007-11-30,0.38,1.7699,11.18,88.5902,-0.017419018379247975,0.0,0.08000000000000002,-0.0006043289900690141
2007-12-31,0.74,1.786,11.18,89.39092,0.009055434639736237,0.0,0.36,0.009038471523938219
2008-01-31,0.54,1.7743,11.18,89.53172,-0.006572503506910632,0.0,-0.19999999999999996,0.001575104048599174
2008-02-29,0.49,1.7277,11.18,89.25936,-0.02661493474879728,0.0,-0.050000000000000044,-0.0030420503481894956
2008-03-31,0.48,1.7076,11.18,88.66705,-0.011702168296929383,0.0,-0.010000000000000009,-0.006635830684871613
2008-04-30,0.55,1.6889,11.37,89.85469,-0.011011446459931351,0.1899999999999995,0.07000000000000006,0.013394378182199684
2008-05-31,0.79,1.6605,11.63,90.76931,-0.016958667607074318,0.26000000000000156,0.24,0.010178878809776082
2008-06-30,0.74,1.6189,12.09,91.73016,-0.02537185556934124,0.4599999999999991,-0.050000000000000044,0.010585626353224464
2008-07-31,0.53,1.5914,12.36,91.62681,-0.01713277430402571,0.2699999999999996,-0.20999999999999996,-0.0011266741494835308
2008-08-31,0.28,1.6123,12.92,91.82776,0.013047599026259737,0.5600000000000005,-0.25,0.0021931353934507847
2008-09-30,0.26,1.7996,13.39,91.75873,0.10990268699732314,0.47000000000000064,-0.020000000000000018,-0.0007517334627349381
2008-10-31,0.45,2.1729,13.66,89.95278,0.1884982629023727,0.2699999999999996,0.19,-0.01968150605397434
2008-11-30,0.36,2.2663,13.64,87.74605,0.042085864835494924,-0.019999999999999574,-0.09000000000000002,-0.02453209339388962
2008-12-31,0.28,2.3944,13.66,85.31882,0.05498413183360429,0.019999999999999574,-0.07999999999999996,-0.0276619859241527
2009-01-31,0.48,2.3074,13.32,85.17524,-0.03701132804529994,-0.33999999999999986,0.19999999999999996,-0.0016828643434121382
2009-02-28,0.55,2.3127,12.66,85.87427,0.0022943236401369305,-0.6600000000000001,0.07000000000000006,0.008206962492855796
2009-03-31,0.2,2.3138,11.7,86.32909,0.0004755214614623471,-0.9600000000000009,-0.35000000000000003,0.005296347788458666
2009-04-30,0.48,2.2059,11.11,86.70452,-0.047755605724502215,-0.5899999999999999,0.27999999999999997,0.004348823785817801
2009-05-31,0.47,2.0609,10.16,87.56138,-0.0679928082928235,-0.9499999999999993,-0.010000000000000009,0.0098825297689209
2009-06-30,0.36,1.9576,9.54,88.1834,-0.051423547449000906,-0.620000000000001,-0.10999999999999999,0.0071038167740162805
2009-07-31,0.24,1.9328,9.01,88.30943,-0.01274950438796607,-0.5299999999999994,-0.12,0.0014291805487200993
2009-08-31,0.15,1.8452,8.65,89.74541,-0.046382056056830434,-0.35999999999999943,-0.09,0.016260777586266872
2009-09-30,0.24,1.8198,8.65,90.46376,-0.013861067761074986,0.0,0.09,0.008004309078313732
2009-10-31,0.28,1.7384,8.65,91.19428,-0.04576145498037054,0.0,0.040000000000000036,0.008075277879230347
2009-11-30,0.41,1.7262,8.65,91.29076,-0.007042689156662729,0.0,0.12999999999999995,0.0010579610914194237
2009-12-31,0.37,1.7503,8.65,92.65936,0.013864741011232695,0.0,-0.03999999999999998,0.01499165961593496
2010-01-31,0.75,1.7798,8.65,94.03034,0.016713796625972055,0.0,0.38,0.014795914843357405
2010-02-28,0.78,1.8416,8.65,94.94668,0.034133760544856284,0.0,0.030000000000000027,0.00974515246887342
2010-03-31,0.52,1.7858,8.65,95.85478,-0.030768264884502128,0.0,-0.26,0.009564315466322748
2010-04-30,0.57,1.7566,8.72,96.34601,-0.016486371600099026,0.07000000000000028,0.04999999999999993,0.005124731390547366
2010-05-31,0.43,1.8132,9.4,95.6075,0.03171311758367712,0.6799999999999997,-0.13999999999999996,-0.007665185096923155
