variavel,coef,pvalor,ticker,r2
delta_selic_lag,-0.11580432325096521,0.019503945340668495,BALM4,0.331729196942835
ibc_var_lag,0.606064869956521,0.617197034546517,BALM4,0.331729196942835
var_dolar_lag,-1.5084181501388378,0.03567870025560897,BALM4,0.331729196942835
const,0.027644555977423158,0.032346085230541825,BAUH4,0.17156058148702624
delta_ipca_lag,0.060488155980258536,0.08282572455483675,BAUH4,0.17156058148702624
delta_selic_lag,-0.056891152202458405,0.10443076492570776,BAUH4,0.17156058148702624
ibc_var_lag,1.106446736351536,0.12505435821228839,BAUH4,0.17156058148702624
var_dolar_lag,0.6314916025604593,0.037046349660048265,BAUH4,0.17156058148702624
const,0.007593925207844519,0.23601576536796198,BAZA3,0.15840956212048196
delta_ipca_lag,0.034854755753293915,0.0675810445192084,BAZA3,0.15840956212048196
delta_selic_lag,0.030156469056175753,0.10244329862585892,BAZA3,0.15840956212048196
ibc_var_lag,-0.7885747160957594,0.07089124952031078,BAZA3,0.15840956212048196
var_dolar_lag,-0.48464400758272486,0.013105394265597281,BAZA3,0.15840956212048196
const,0.013159065237869466,0.12388430175818,BBAS3,0.36093136036609674
delta_ipca_lag,-0.05277765356155138,0.043626018176271895,BBAS3,0.36093136036609674
delta_selic_lag,0.005143450009895648,0.8288687974834672,BBAS3,0.36093136036609674
ibc_var_lag,-0.6093020529936561,0.35161693153588824,BBAS3,0.36093136036609674
var_dolar_lag,-2.0363184946769453,2.1596662768143836e-12,BBAS3,0.36093136036609674
const,0.0167249450670504,0.02646967887598447,BBDC4,0.3347166799696959
delta_ipca_lag,0.04782995609874966,0.03317464890900987,BBDC4,0.3347166799696959
delta_selic_lag,0.012295625893320207,0.5562917412699377,BBDC4,0.3347166799696959
ibc_var_lag,-1.3655288943822903,0.01022895932728574,BBDC4,0.3347166799696959
var_dolar_lag,-1.427012721566007,5.817155164600768e-10,BBDC4,0.3347166799696959
const,0.007300396155150334,0.2793682600043114,BBSE3,0.27744831818599025
delta_ipca_lag,-0.0362189552080611,0.06120707234413473,BBSE3,0.27744831818599025
delta_selic_lag,0.00860371648452973,0.6334781148858973,BBSE3,0.27744831818599025
ibc_var_lag,0.6735563102426172,0.12632882462726674,BBSE3,0.27744831818599025
var_dolar_lag,-0.918219566725911,3.37651390792338e-06,BBSE3,0.27744831818599025
const,-0.012020892284864864,0.43147359899836335,BDLL4,0.27917132242706466
delta_ipca_lag,0.08740015454001586,0.0630231852167896,BDLL4,0.27917132242706466
delta_selic_lag,0.02567035224560069,0.5440588207963963,BDLL4,0.27917132242706466
ibc_var_lag,1.1219981602645714,0.29213896943364454,BDLL4,0.27917132242706466
var_dolar_lag,-1.746014748163663,0.0015320072793270601,BDLL4,0.27917132242706466
const,-0.00040511090923775993,0.9697631650071252,BEEF3,0.08956211353524024
delta_ipca_lag,-0.06723767213635216,0.03817823896656855,BEEF3,0.08956211353524024
delta_selic_lag,0.033385516579342946,0.25918490902505675,BEEF3,0.08956211353524024
ibc_var_lag,-1.6428332849523257,0.03133659159869472,BEEF3,0.08956211353524024
var_dolar_lag,-0.3258196169970049,0.28476274827610626,BEEF3,0.08956211353524024
const,0.01596158058642766,0.023494536590292932,BEES3,0.20127869450562363
delta_ipca_lag,-0.01845634439837896,0.38162317067997675,BEES3,0.20127869450562363
delta_selic_lag,0.018683860614241647,0.3294432952086088,BEES3,0.20127869450562363
ibc_var_lag,-0.7316585968353212,0.14590928043424697,BEES3,0.20127869450562363
var_dolar_lag,-0.9525491240378072,4.566870094053264e-06,BEES3,0.20127869450562363
const,-0.00810577263728498,0.615712776739584,BEMA3,0.2764367525008077
delta_ipca_lag,0.045976157006953976,0.4614337619240755,BEMA3,0.2764367525008077
delta_selic_lag,-0.1295753423871288,0.02170287916405293,BEMA3,0.2764367525008077
ibc_var_lag,2.2730003672099386,0.295330336246998,BEMA3,0.2764367525008077
var_dolar_lag,0.7372891900735807,0.11505899373336823,BEMA3,0.2764367525008077
const,0.016868667865760748,0.06316416905924958,BGIP4,0.3326045028620187
delta_ipca_lag,-0.011943354224582125,0.6812717364129557,BGIP4,0.3326045028620187
delta_selic_lag,-0.02955768438516366,0.21531957227711498,BGIP4,0.3326045028620187
ibc_var_lag,1.33275353319282,0.03112652967775778,BGIP4,0.3326045028620187
var_dolar_lag,-1.198116649513555,2.3660936069763874e-05,BGIP4,0.3326045028620187
