ticker,delta_selic_lag,delta_ipca_lag,var_dolar_lag,ibc_var_lag,cluster
ISAE4,0.6543903282110551,-0.2722323799741681,0.38421400044740167,-0.21488209971495487,1
ITSA4,0.16928189645897887,0.33831198953232267,-0.1901381650453931,-0.04890932265238932,0
ITUB4,0.5586998405186093,0.32774134335105354,-0.21965360387934246,0.28071905992744073,0
JALL3,-0.22912252769199662,-0.18529700480262845,0.5926126886794978,-0.7567821186749618,3
JFEN3,1.156566479567613,-0.46157954625312553,-1.0803433015217763,0.8859573238830432,1
JHSF3,-0.06974076824124222,0.4897774496078915,-0.5985956891860318,-0.4533979136985303,0
JSLG3,-0.021439993386077945,-0.9989457180436401,-0.5548271661332427,0.3506716537723931,2
KEPL3,-0.27029346056464704,-0.7376023768166647,-0.23121332438232609,-0.3894982040767437,2
KLBN11,0.28002621979416414,-0.1903181508422109,0.9635763634982201,-0.05903915988083019,3
KRSA3,0.3842221806923263,-0.9101614975537694,3.9062682692370347,1.7785703706504181,6
LAME4,0.9576105217144751,-0.8389122552982922,0.045738154736424515,-0.2147196333211866,1
LAND3,0.591093530860631,0.6298458665632313,1.7181263101889648,-0.7283257006424796,3
LAVV3,0.7101980433616478,1.027343225929108,-0.8146271543100353,0.7498856123647075,0
LCAM3,-1.0588689518080154,0.6362061190848675,-0.014051397471988969,0.41805887727850854,0
LEVE3,0.2469374885780837,0.7239476855633227,0.974164058386607,-0.13876745705760582,0
LIGT3,0.4734690796006731,0.8582747211087461,-0.5178693933363221,0.6410484549775728,0
LINX3,-0.04373496278690373,-1.1185441808485086,0.2003836895113515,0.6110820500709983,2
LIPR3,-0.02045385787397348,0.22236953321519076,0.32309663496333574,0.18968125806784358,0
LIXC4,-3.0408187003880887,2.6329916992288775,-1.041223562149376,-0.5023984531496625,5
LJQQ3,-0.606166417782875,-0.4042227948605566,-2.510414348159853,1.2164101841505817,2
LOGG3,-0.31552759897702104,0.8062159798841422,-0.6975033384146259,-0.3059871124248925,0
LOGN3,0.5544904007232235,0.7415302531666267,-0.5473224664935777,0.30029204610029664,0
LPSB3,-0.31100056211117505,-0.2936178930647993,-0.933425912020029,0.2066418977726041,2
LREN3,0.0460381020142202,-0.30279559730024336,-0.2491601583985592,-0.22956892537604826,1
LUPA3,-0.9013736571725758,0.3350543947191637,-1.15900587078782,0.6263139968300487,2
LUXM4,-0.3736934931768675,0.48012660909371147,0.5990749089775372,-0.45261877650721394,0
LWSA3,0.14482410695767012,1.1282343008277986,1.319439104321275,-1.0861055377335147,3
MAGG3,-0.8891544900687838,0.5690821573419484,1.1446514635930773,-1.401068812908186,3
MATD3,0.6272637317990263,1.1072042889667657,-1.1879340958649391,1.2789559461962225,0
MBRF3,-0.7062725959608598,-0.5513776845182821,1.0958434265811041,-0.41692629391258346,3
MDIA3,0.6317424616532078,-0.13286632192509962,-0.13546348629540256,-0.18611578654948988,1
MDNE3,-0.16127455063510288,1.021272850142472,-0.6307265147710143,-0.03366888619716431,0
MEAL3,-0.12399965667119826,1.3079547202251238,-1.3838100276493388,-0.5314097499848046,5
MELK3,1.058898910663887,0.7397492059928704,-0.25759497453667307,-0.29715601415321685,1
MGEL4,0.7033075621692788,-0.7999879711633632,-0.6287182487789271,-0.5606251753007994,1
MGLU3,-0.9001737693919598,-0.7280531825306902,-1.3939590954827974,-0.277435730511092,2
MILS3,-0.02172616397956693,-0.5398953444267602,-0.5475370543022617,0.3352845424841892,2
MLAS3,-0.874760324869909,-0.1384251220299781,-1.5944881253143208,-2.173704967884452,5
MMXM3,-1.5882961485462652,0.670442296060481,-0.36855331458859014,-1.1596897183903285,5
MNPR3,0.9473534202821476,1.237844687176258,-0.14032445324817508,-0.5237862170876985,0
MOAR3,0.02466701311716822,1.1343015757612993,1.0288710544617545,0.18767256558271708,0
MOTV3,0.8321457957269829,-0.0938917284705915,-0.048244963865359626,0.30193100703396125,1
MOVI3,-0.17064440393042193,-0.5826149676458655,-0.9481278691146583,0.1673908964119208,2
MPLU3,1.1236157458418696,0.4755525110093483,0.14560116588221644,-0.603925106494595,1
MRVE3,0.7752764820773239,-0.6192031857103087,-0.31588097365162293,-0.284070125792882,1
MTIG4,0.014160746378824363,-0.38792326708409497,-0.1194981042255834,-1.6904346717867091,1
MTRE3,-0.2701204301183223,0.8124374922215837,-1.2163290793310086,-0.9696943772269255,5
MTSA4,0.08831116192459537,-0.3511308510358053,0.1267403688894812,0.3897101719421052,0
MULT3,0.5715940891871856,0.4982572004810392,0.09211090572676715,-0.4011915181863878,1
MWET4,-0.624961160462787,-0.5969625624051028,-0.3324067353420095,0.5988769382169645,2
MYPK3,-0.026288881324056827,0.6276769988253816,0.10378708080356347,-0.4034846044455214,0
NATU3,-0.1343291656886391,-0.5922541509897565,0.03412332738592831,0.31498466466580227,2
NEOE3,0.4673335975752225,0.4160639773596189,-0.3629531248363787,-0.25736888457353574,0
NETC4,1.4014481195860782,-0.6931766731125897,1.1538949785135608,-0.889651115943864,3
NEXP3,-0.6804922246060796,-0.9718679901525358,-0.97343236525147,-0.3474329968637327,2
NGRD3,-0.36828420041853915,-0.47008485040490366,1.7486528166087527,1.4298937910976266,6
NORD3,-2.939586117864726,4.9597664949955105,-0.09122272409163179,-1.680418484288126,5
NTCO3,-1.3627334901574877,-0.6768676936841717,-1.3155981058026816,-0.3198476161934027,2
NUTR3,-1.7398767452974357,-0.9930765475985076,-0.25328722343614646,-0.36804441481141686,2
ODPV3,0.6988741409790669,0.33545751807248037,0.4426876771963292,0.3145867874776499,0
OFSA3,0.7424435385096326,0.5452362152590203,-0.023787741227036967,-0.30304759115827706,1
OGXP3,-1.6993705709135034,-2.1711607912963475,2.224822257329285,-2.267616603573487,3
OIBR3,-1.896410898082045,-0.8073059883753421,-0.8411383480456269,-0.4426843181426336,2
OMGE3,-0.9562323631641887,-0.05637893695425249,-0.29449965343587137,0.06126653465237279,2
ONCO3,-0.2705344290805565,2.060110094359126,-3.95346320633955,-0.06903454579970458,5
OPCT3,-0.9111816015718056,0.7419869518845985,-0.7555841238391153,1.2561035323474938,0
ORVR3,0.5883463865353183,0.5234780909326036,-0.5215897617358731,-0.5156093709355251,1
OSXB3,1.0526156766312116,-0.767484014358698,1.2197554324295805,-1.2075847499286145,3
PARD3,1.2280461185960558,-0.9339036805762915,-0.15323681234831077,-0.3870557318071041,1
PCAR4,1.2960818482343694,0.6296168981627944,-0.14373230170635123,1.1113781097196613,0
PDGR3,-2.3525101840156646,-3.7530420850627615,-1.6838144202161882,-1.2889116064828918,2
PDTC3,-0.6507320887113902,0.5737205296768143,1.169050259458242,-0.7276522348714608,3
PEAB4,-0.7444394744074345,-0.015278423514212667,1.5482075226725955,-0.8374854625685988,3
PETR4,-0.024438350471109274,-0.2985115072434527,-0.7132338893037868,-0.12417870865233419,2
PETZ3,-0.30061800344929107,-0.4451366002083617,-0.8369799203660122,1.3193704925951808,2
PFRM3,-0.38490727275305386,0.49133001111354163,-0.20922822449914324,-0.2702875330469212,0
PGMN3,0.07186212925266736,0.06722331677612128,-0.0075995486882973725,1.7470023054387707,0
PINE4,0.6650971396462697,-0.5307853169212498,-0.09292826928281363,-0.31683238390598506,1
PLAS3,0.7081975439473377,-0.9749670888580607,-1.1904903995902067,0.7384669242446065,1
PLPL3,-0.2530988376275391,-0.43848658343436286,2.789303053185286,1.3762631657265076,6
PMAM3,-0.7052057478263604,1.1231680967115683,-0.5130826922272498,-0.8210812430677374,5
PMET6,3.0090406498004496,-1.07796766197545,-0.9660142149390021,-2.015708723201576,1
PNVL3,0.23938264981902932,-0.29178245691129323,0.1295961133501248,-0.2996491462513367,1
POMO4,-0.04775143845198203,0.7075771835607947,-0.2669886632663606,-0.21206225011134033,0
PORT3,0.7248310517718178,-0.38968553851695037,0.5273457455866286,1.3513001509786382,6
POSI3,-0.7277858825506298,0.5740035428472303,-0.6568168330191262,-0.7529306181838219,5
PRBC4,0.10050063185859205,-0.18712155098909125,0.20985943646741922,-0.735929615059023,1
PRIO3,-0.11263820944896233,-0.8350561396577505,-0.40453822210861456,0.8222151794098115,2
PRML3,-0.34745278734138363,0.526836098386783,2.282359725644735,2.819240803244562,6
PRNR3,-0.2573864334286218,-0.05272388168687718,-0.26652415373392707,0.5147490983268598,0
PRVI3,-0.5093375311844384,-0.2546901564186255,1.1299213952087863,-0.5611983379719014,3
PSSA3,-0.10556660446646235,0.19193773734965833,0.17737320191597447,0.15698349203264247,0
PTBL3,-0.547121000710328,-0.3766206362324977,-0.6944176456774979,0.30494191432804796,2
PTNT4,-0.12844341201312431,0.6826497552527407,-0.01814909915467332,0.30635384208548305,0
QUAL3,-0.12998022796799422,-0.855784415451936,-0.24976463378130234,-0.27115092800638324,2
RADL3,0.2732045583430802,-0.3879497126768167,0.4407378812005106,-0.07893887617177385,1
RAIL3,0.14384996735474656,-0.20883453646930267,0.09937505236384428,-0.246716110589113,1
RAIZ4,0.022774428796315783,0.4403056290756208,-0.08837736240157947,-1.0361387906358246,1
RANI3,0.6483819031686764,0.4568943519526504,-0.6647943163420976,0.3776564802381341,0
RAPT4,-0.3243298206893849,-0.538405063505479,-0.4629752969915418,-0.22452027343051878,2
RCSL3,-1.8588480311398747,2.1875399050131192,-0.7677858427906316,-1.063076507819483,5
RDNI3,-0.13902379698106707,0.22541701819932813,-0.24532710267665042,0.6233003437331335,0
RDOR3,-0.04507974370932409,-0.5833744109348041,-0.20471311428163244,1.6179321040930057,0
RDTR3,0.6629224068811318,0.06826106029806114,1.5738930875012727,1.4410139783576572,6
RECV3,0.47472775608255957,-0.9699938985877562,0.24280919055541988,-1.6170508764623748,3
