ticker,delta_selic_lag
HAGA4,0.22515643483742798
CAML3,0.23207924295517507
PNVL3,0.23938264981902932
LEVE3,0.2469374885780837
SMFT3,0.2506677678828899
CAMB3,0.25704817015134224
BRBI11,0.262311350541537
RADL3,0.2732045583430802
BRPR3,0.2787396869300582
KLBN11,0.28002621979416414
SBSP3,0.3195409509134816
KRSA3,0.3842221806923263
CESP6,0.396802873258529
TFCO4,0.4123304281920859
TCSA3,0.4236076119128932
STBP3,0.4482250807553322
SUZB3,0.45071366410592406
CLSC4,0.46137670916726337
NEOE3,0.4673335975752225
LIGT3,0.4734690796006731
RECV3,0.47472775608255957
DAYC4,0.47503821129883655
CMIG4,0.4980680468007815
BBAS3,0.5087573679943933
CXSE3,0.5243001417023454
BRSR6,0.5419681917618284
HBOR3,0.547469165717737
BBSE3,0.5529481188080773
LOGN3,0.5544904007232235
ABCB4,0.5584829949649753
ITUB4,0.5586998405186093
MULT3,0.5715940891871856
WIZC3,0.5716629304608947
FIEI3,0.5851503454317508
SEQL3,0.5874387728686681
ORVR3,0.5883463865353183
LAND3,0.591093530860631
BRML3,0.5953170772567649
BBDC4,0.6000971606250973
CGRA4,0.603705186468278
ARTR3,0.6246626777474373
MATD3,0.6272637317990263
MDIA3,0.6317424616532078
IGTI11,0.6348215297738441
RANI3,0.6483819031686764
ISAE4,0.6543903282110551
RDTR3,0.6629224068811318
PINE4,0.6650971396462697
CPFE3,0.6692569843965929
CGAS5,0.6715110756095555
B3SA3,0.6727987528078919
CURY3,0.6755898833420239
HYPE3,0.6767803648591306
BEES3,0.6816807296250589
ENGI11,0.6878298244392619
SAPR11,0.692502633201728
ODPV3,0.6988741409790669
MGEL4,0.7033075621692788
PLAS3,0.7081975439473377
LAVV3,0.7101980433616478
TIMS3,0.7205693714184682
TTEN3,0.7216032667427684
PORT3,0.7248310517718178
OFSA3,0.7424435385096326
ALUP11,0.7459607583101634
UGPA3,0.7664954455719731
BDLL4,0.7709045836277839
FLRY3,0.773049910273711
MRVE3,0.7752764820773239
CIEL3,0.7801049486000824
ENBR3,0.7898640810259411
CEEB3,0.8130202532138816
RPAD5,0.8203627111763249
TCNO4,0.8247333112925656
BAZA3,0.8281963764854902
MOTV3,0.8321457957269829
HETA4,0.8466946053279311
BRIV4,0.8515482520197776
INTB3,0.861658074666104
BEEF3,0.8694342509404956
VIVT4,0.8731274696280641
GNDI3,0.8903116809267075
VLID3,0.9028002210517282
VAMO3,0.9065171347185216
BRAV3,0.9081549335047063
TRPN3,0.9253335977460981
BMKS3,0.9262520812823252
CPLE6,0.9267218536734871
AXIA3,0.9363351508590047
MNPR3,0.9473534202821476
LAME4,0.9576105217144751
COGN3,0.981653946388265
HGTX3,0.9987852476625468
TIET11,1.008604680923359
VULC3,1.0359320610901406
OSXB3,1.0526156766312116
ARML3,1.0542276630700622
TECN3,1.0555241166070373
MELK3,1.058898910663887
BMOB3,1.0719816227080046
RSUL4,1.0980836475425624
AURE3,1.122685299788636
MPLU3,1.1236157458418696
JFEN3,1.156566479567613
ASAI3,1.1817021779838446
CCXC3,1.1932882099782516
BIED3,1.2046244436674656
BMIN4,1.2150543371255023
PARD3,1.2280461185960558
PCAR4,1.2960818482343694
IMBI4,1.3084264487391404
TEMP3,1.350931310125704
BLUT4,1.356253909115448
SOMA3,1.3836695406743948
AERI3,1.4007585942021354
NETC4,1.4014481195860782
ADHM3,1.406346459550634
RSIP3,1.4099781668498557
TESA3,1.4321150244162864
ZAMP3,1.4402659863345024
BSEV3,1.4415410104679798
BISA3,1.4997947091672283
CSRN3,1.5963831259422991
SULT4,1.6222142247068767
BLAU3,1.6432426062549965
AALR3,1.653674231259203
SRNA3,1.7222632222683778
VITT3,1.8349636806795826
EPAR4,1.9149905369529274
VSTE3,1.9999195473199103
AELP3,2.021544276370314
BICB4,2.115537779185558
IGBR3,2.1911547078257443
EBTP4,2.1968593562750556
VVEO3,2.289199545182059
ELPL4,2.5649997571595478
PMET6,3.0090406498004496
AGXY3,3.0922374999801803
RJCP3,3.4099897444931706
SMLE3,3.7594103395679364
