variavel,lag,correlacao,subsetor
delta_selic,3,-0.06443563774714221,Construção Civil
delta_selic,4,-0.052214715143843994,Construção Civil
delta_selic,5,-0.02363634692684173,Construção Civil
delta_selic,6,-0.08255255736435597,Construção Civil
delta_ipca,0,-0.058582152524595456,Construção Civil
delta_ipca,1,0.028036061773267482,Construção Civil
delta_ipca,2,-0.030195831782966066,Construção Civil
delta_ipca,3,-0.0855873155143899,Construção Civil
delta_ipca,4,-0.001790623185293729,Construção Civil
delta_ipca,5,-0.04422107956655821,Construção Civil
delta_ipca,6,0.15598690982366273,Construção Civil
var_dolar,0,-0.4841301628308435,Construção Civil
var_dolar,1,0.0007144514586245167,Construção Civil
var_dolar,2,0.13886810641316624,Construção Civil
var_dolar,3,0.14506407223907447,Construção Civil
var_dolar,4,0.053864777180929614,Construção Civil
var_dolar,5,-0.004530245592332142,Construção Civil
var_dolar,6,-0.13033761888446949,Construção Civil
ibc_var,0,0.1978173189891918,Construção Civil
ibc_var,1,0.012944371876440883,Construção Civil
ibc_var,2,-0.11715887611853536,Construção Civil
ibc_var,3,-0.10066599518051864,Construção Civil
ibc_var,4,0.10102239892537881,Construção Civil
ibc_var,5,0.005478506258815607,Construção Civil
ibc_var,6,0.02891416918913171,Construção Civil
delta_selic,0,-0.04280737975236229,Construção e Engenharia
delta_selic,1,-0.044315629792686655,Construção e Engenharia
delta_selic,2,-0.06833616727308471,Construção e Engenharia
delta_selic,3,-0.05471609220101766,Construção e Engenharia
delta_selic,4,-0.06721992549261864,Construção e Engenharia
delta_selic,5,-0.008806617320546517,Construção e Engenharia
delta_selic,6,-0.05119394670578958,Construção e Engenharia
delta_ipca,0,-0.020879290061411145,Construção e Engenharia
delta_ipca,1,0.0700379320517909,Construção e Engenharia
delta_ipca,2,-0.025545050299974545,Construção e Engenharia
delta_ipca,3,-0.15970494185808742,Construção e Engenharia
delta_ipca,4,0.10541933324176249,Construção e Engenharia
delta_ipca,5,-0.02896602327204512,Construção e Engenharia
delta_ipca,6,0.10025736595297044,Construção e Engenharia
var_dolar,0,-0.37959924996753497,Construção e Engenharia
var_dolar,1,-0.011143756678958141,Construção e Engenharia
var_dolar,2,0.11878857754714063,Construção e Engenharia
var_dolar,3,0.09334217999639037,Construção e Engenharia
var_dolar,4,0.04483335116469443,Construção e Engenharia
var_dolar,5,0.008835556437436321,Construção e Engenharia
var_dolar,6,-0.09152869087616453,Construção e Engenharia
ibc_var,0,0.1847022155214798,Construção e Engenharia
ibc_var,1,-0.06917753923844364,Construção e Engenharia
ibc_var,2,-0.07558540997333685,Construção e Engenharia
ibc_var,3,-0.04837266740771046,Construção e Engenharia
ibc_var,4,0.10251604053231193,Construção e Engenharia
ibc_var,5,-0.043600374843378704,Construção e Engenharia
ibc_var,6,-0.010298140484306769,Construção e Engenharia
delta_selic,0,-0.11160731652889025,Diversos
delta_selic,1,-0.09785275911859645,Diversos
delta_selic,2,-0.06385639905589692,Diversos
delta_selic,3,-0.056814050182451316,Diversos
delta_selic,4,-0.0719280699977253,Diversos
delta_selic,5,-0.03367473845462873,Diversos
delta_selic,6,-0.08293542825841844,Diversos
delta_ipca,0,-0.07100454633855437,Diversos
delta_ipca,1,0.00390703625617473,Diversos
delta_ipca,2,-0.01165366503030473,Diversos
delta_ipca,3,-0.08457367284577949,Diversos
delta_ipca,4,-0.01630798732208523,Diversos
delta_ipca,5,-0.052417366894690794,Diversos
delta_ipca,6,0.0686825411927392,Diversos
var_dolar,0,-0.3853797272199444,Diversos
var_dolar,1,-0.0771994708277594,Diversos
var_dolar,2,0.02170635488042622,Diversos
var_dolar,3,0.06491803096164332,Diversos
var_dolar,4,0.0593842095188486,Diversos
var_dolar,5,0.006443178902915964,Diversos
var_dolar,6,-0.12950746071760727,Diversos
ibc_var,0,0.1399091043677583,Diversos
ibc_var,1,0.016002989531083943,Diversos
ibc_var,2,-0.012614784441365661,Diversos
ibc_var,3,-0.029710852462092752,Diversos
ibc_var,4,-0.030409519948144413,Diversos
ibc_var,5,-0.0066548439429091185,Diversos
ibc_var,6,-0.008360896325419939,Diversos
delta_selic,0,0.024647477374852615,Embalagens
