ano_mes,data,ibov,ret_ibov,ipca,dolar,selic,ibc_br,var_dolar,delta_selic,delta_ipca,ibc_var
2004-11,2004-11-30,25128.0,0.08623022866192542,0.69,2.786,16.96,76.98877,-0.02372914543575999,0.5500000000000007,0.24999999999999994,0.00927435567113366
2005-01,2005-01-31,24351.0,-0.0730338109086599,0.58,2.693,17.93,76.91054,-0.009314082709647953,0.4299999999999997,-0.28,0.006668625627527458
2005-02,2005-02-28,28139.0,0.1445835980049548,0.59,2.5978,18.47,77.38994,-0.035990880838415396,0.5399999999999991,0.010000000000000009,0.006233215889525745
2005-03,2005-03-31,26611.0,-0.05583185031141369,0.61,2.7047,18.97,77.46827,0.04032606742677369,0.5,0.020000000000000018,0.0010121470568398294
2005-05,2005-05-31,25207.0,0.01450545902499556,0.49,2.4528,19.61,77.925,-0.05024904419475951,0.28999999999999915,-0.38,-0.0006450760689603596
2005-06,2005-06-30,25051.0,-0.006207986828286494,-0.02,2.4135,19.75,77.50863,-0.01615225301700207,0.14000000000000057,-0.51,-0.0053432146294514204
2005-08,2005-08-31,28045.0,0.07409974365376293,0.17,2.3606,19.75,78.04541,-0.005449834996404168,0.030000000000001137,-0.07999999999999999,0.007442475265864834
2005-09,2005-09-30,31584.0,0.1188403002907723,0.35,2.2944,19.61,77.86005,-0.028444452589667324,-0.14000000000000057,0.17999999999999997,-0.0023750275640810337
2005-10,2005-10-31,30194.0,-0.045007434105526656,0.75,2.2565,19.25,77.99252,-0.01665643113824533,-0.35999999999999943,0.4,0.0017013860124672764
2005-11,2005-11-30,31917.0,0.05549555405679385,0.55,2.2108,18.87,78.51795,-0.02046049930794802,-0.379999999999999,-0.19999999999999996,0.006736928105413265
2006-01,2006-01-31,38383.0,0.1373835105498049,0.59,2.2739,17.65,79.74946,-0.005088399802053556,-0.5899999999999999,0.22999999999999998,0.008029148734791658
2006-03,2006-03-31,37952.0,-0.01718910690088471,0.43,2.152,16.74,79.67116,-0.004589822378743724,-0.5400000000000027,0.020000000000000018,-0.0019462203788916943
2006-05,2006-05-31,36530.0,-0.09977968293661554,0.1,2.1781,15.7,81.19881,0.022659649928829406,-0.490000000000002,-0.10999999999999999,0.01264566036314596
2006-06,2006-06-30,36631.0,0.0027610356381924106,-0.21,2.2483,15.18,80.3511,0.03172143794577442,-0.5199999999999996,-0.31,-0.01043993132411658
2006-07,2006-07-31,37077.0,0.012101954830324502,0.19,2.1893,14.98,81.79416,-0.026592517053666387,-0.1999999999999993,0.4,0.017959430549177258
2006-08,2006-08-31,36232.0,-0.023054125021795713,0.05,2.1559,14.66,81.79989,-0.015373588249328995,-0.3200000000000003,-0.14,7.005390115866206e-05
2006-10,2006-10-31,39263.0,0.0743685763454387,0.33,2.1483,13.95,82.91123,-0.009451077993357315,-0.22000000000000064,0.12000000000000002,0.01148533032539567
2006-11,2006-11-30,41932.0,0.06576665900881373,0.31,2.1579,13.65,83.46222,0.004458694860416501,-0.29999999999999893,-0.020000000000000018,0.00664554126141903
2007-01,2007-01-31,44642.0,0.0037703711795806782,0.44,2.1385,13.13,84.22726,-0.005316680745138913,-0.05999999999999872,-0.03999999999999998,-0.00332393936869535
2007-02,2007-02-28,43892.0,-0.016943048808267136,0.44,2.0963,12.93,84.46413,-0.01993076269712668,-0.20000000000000107,0.0,0.0028122724163173185
2007-04,2007-04-30,48956.0,0.06652868005292056,0.25,2.032,12.58,84.99403,-0.02752133316289873,-0.16000000000000014,-0.12,0.013342243423095868
2007-05,2007-05-31,52268.0,0.06546239360680772,0.28,1.9816,12.43,85.78776,-0.025115930523222807,-0.15000000000000036,0.030000000000000027,0.00933865590324423
2007-07,2007-07-31,54183.0,-0.0038498781145221983,0.24,1.8828,11.73,86.9192,-0.02574394407152103,-0.29999999999999893,-0.040000000000000036,0.005887481677565365
2007-08,2007-08-31,54637.0,0.008344102813948595,0.47,1.966,11.43,87.10311,0.04324099118012459,-0.3000000000000007,0.22999999999999998,0.0021158731327486358
2007-10,2007-10-31,65318.0,0.07720296390269965,0.3,1.801,11.18,88.64377,-0.05330127149901065,-0.040000000000000924,0.12,0.009681435363317226
2007-11,2007-11-30,63006.0,-0.036037689188027855,0.38,1.7699,11.18,88.5902,-0.017419018379247975,0.0,0.08000000000000002,-0.0006043289900690141
2008-01,2008-01-31,59490.0,-0.0712920138476747,0.54,1.7743,11.18,89.53172,-0.006572503506910632,0.0,-0.19999999999999996,0.001575104048599174
2008-02,2008-02-29,63489.0,0.06505843134661227,0.49,1.7277,11.18,89.25936,-0.02661493474879728,0.0,-0.050000000000000044,-0.0030420503481894956
2008-03,2008-03-31,60968.0,-0.04051752618260984,0.48,1.7076,11.18,88.66705,-0.011702168296929383,0.0,-0.010000000000000009,-0.006635830684871613
2008-04,2008-04-30,67868.0,0.10721550581687644,0.55,1.6889,11.37,89.85469,-0.011011446459931351,0.1899999999999995,0.07000000000000006,0.013394378182199684
2008-06,2008-06-30,65018.0,-0.11020434381294208,0.74,1.6189,12.09,91.73016,-0.02537185556934124,0.4599999999999991,-0.050000000000000044,0.010585626353224464
2008-07,2008-07-31,59505.0,-0.08860381200203804,0.53,1.5914,12.36,91.62681,-0.01713277430402571,0.2699999999999996,-0.20999999999999996,-0.0011266741494835308
2008-09,2008-09-30,49541.0,-0.11682040646016034,0.26,1.7996,13.39,91.75873,0.10990268699732314,0.47000000000000064,-0.020000000000000018,-0.0007517334627349381
2008-10,2008-10-31,37257.0,-0.28496076293199835,0.45,2.1729,13.66,89.95278,0.1884982629023727,0.2699999999999996,0.19,-0.01968150605397434
2009-03,2009-03-31,40926.0,0.06937516751965589,0.2,2.3138,11.7,86.32909,0.0004755214614623471,-0.9600000000000009,-0.35000000000000003,0.005296347788458666
2009-04,2009-04-30,47290.0,0.14453329875514775,0.48,2.2059,11.11,86.70452,-0.047755605724502215,-0.5899999999999999,0.27999999999999997,0.004348823785817801
2009-06,2009-06-30,51465.0,-0.033118836677441976,0.36,1.9576,9.54,88.1834,-0.051423547449000906,-0.620000000000001,-0.10999999999999999,0.0071038167740162805
