ano_mes,segmento,ret_segmento,n_empresas,data
2010-04,Material Rodoviário,0.048326283557043014,6,2010-04-30
2010-04,Medicamentos e Outros Produtos,0.02951289956792763,4,2010-04-30
2010-04,Minerais Metálicos,-0.074181247765101,3,2010-04-30
2010-04,"Motores , Compressores e Outros",-0.027404910108013908,2,2010-04-30
2010-04,Máq. e Equip. Construção e Agrícolas,0.009996489281141496,1,2010-04-30
2010-04,Máq. e Equip. Industriais,-0.0835388590191858,6,2010-04-30
2010-04,Outros,-0.06410364133334245,2,2010-04-30
2010-04,Papel e Celulose,-0.1088399029224898,1,2010-04-30
2010-04,Petroquímicos,-0.05229616757557215,6,2010-04-30
2010-04,Produtos Diversos,0.02537655038220706,3,2010-04-30
2010-04,Produtos de Cuidado Pessoal,0.0214996773015963,1,2010-04-30
2010-04,Produtos de Limpeza,0.1133286853070028,1,2010-04-30
2010-04,Produtos para Construção,-0.07434583746594263,3,2010-04-30
2010-04,Programas e Serviços,-0.015661339107865657,4,2010-04-30
2010-04,Químicos Diversos,-0.06531842201828093,1,2010-04-30
2010-04,Seguradoras,-0.006693663878208467,3,2010-04-30
2010-04,"Serv.Méd.Hospit.,Análises e Diagnósticos",-0.04281821008764173,6,2010-04-30
2010-04,Serviços Diversos,-0.2968867602134211,2,2010-04-30
2010-04,Serviços Educacionais,-0.02435488811014371,3,2010-04-30
2010-04,Serviços Financeiros Diversos,0.00964254614112973,3,2010-04-30
2010-04,Serviços de Apoio e Armazenagem,0.05798725765034929,1,2010-04-30
2010-04,Siderurgia,-0.053664180254534434,5,2010-04-30
2010-04,Soc. Crédito e Financiamento,0.0454057395830845,2,2010-04-30
2010-04,"Tecidos, Vestuário e Calçados",-0.010594933616311752,4,2010-04-30
2010-04,Telecomunicações,0.3351524194193214,1,2010-04-30
2010-04,Transporte Ferroviário,0.4321333551903256,1,2010-04-30
2010-04,Transporte Hidroviário,0.004203652174871175,2,2010-04-30
2010-04,Transporte Rodoviário,0.009812038559479763,1,2010-04-30
2010-04,Utensílios Domésticos,-0.24846135929849966,1,2010-04-30
2010-04,Vestuário,-0.030053427728945665,3,2010-04-30
2010-04,Água e Saneamento,0.03079281492678343,2,2010-04-30
2010-05,Acessórios,0.04879016416943194,1,2010-05-31
2010-05,Agricultura,-0.08890200771091956,3,2010-05-31
2010-05,Alimentos Diversos,-0.19259352634026583,3,2010-05-31
2010-05,Aluguel de carros,-0.02097544650872396,1,2010-05-31
2010-05,Armas e Munições,-0.10269549739332673,1,2010-05-31
2010-05,Artefatos de Cobre,-0.09436494240283011,1,2010-05-31
2010-05,Artefatos de Ferro e Aço,-0.12364388111267473,7,2010-05-31
2010-05,Automóveis e Motocicletas,-0.07276689315621554,2,2010-05-31
2010-05,Açucar e Alcool,-0.06706664341780533,1,2010-05-31
2010-05,Bancos,-0.06149564812515544,22,2010-05-31
2010-05,Bicicletas,-0.1519298090790917,1,2010-05-31
2010-05,Brinquedos e Jogos,-0.19843996372306089,1,2010-05-31
2010-05,Calçados,-0.027861771565146447,3,2010-05-31
2010-05,Carnes e Derivados,-0.06406064277518246,5,2010-05-31
2010-05,Computadores e Equipamentos,-0.04074579435036929,3,2010-05-31
2010-05,Eletrodomésticos,-0.019755206962331767,1,2010-05-31
2010-05,Embalagens,-0.09266350612783927,2,2010-05-31
2010-05,Energia Elétrica,-0.0390991641807345,25,2010-05-31
2010-05,Engenharia Consultiva,-0.08499465492248476,2,2010-05-31
2010-05,Equipamentos e Serviços,-0.1434201747132251,2,2010-05-31
2010-05,Exploração de Imóveis,-0.04799887000941079,13,2010-05-31
2010-05,Exploração de Rodovias,-0.05126743760629678,3,2010-05-31
2010-05,"Exploração, Refino e Distribuição",-0.10186934708042505,4,2010-05-31
2010-05,Fertilizantes e Defensivos,-0.049759693307288355,3,2010-05-31
2010-05,Fios e Tecidos,-0.0734654155995944,14,2010-05-31
2010-05,Gás,0.021637394400236376,1,2010-05-31
2010-05,Holdings Diversificadas,-0.06163887609154259,4,2010-05-31
2010-05,Hotelaria,-0.25869453557852884,1,2010-05-31
2010-05,Incorporações,-0.02040567010976201,19,2010-05-31
2010-05,Intermediação Imobiliária,-0.155275813019482,2,2010-05-31
2010-05,Linhas Aéreas de Passageiros,-0.1600819315155666,2,2010-05-31
2010-05,Madeira,0.008598382102606106,2,2010-05-31
2010-05,Materiais Diversos,-0.025320372346577802,1,2010-05-31
2010-05,Material Aeronáutico e de Defesa,-0.04555865097016687,1,2010-05-31
2010-05,Material Rodoviário,-0.013460709144922164,6,2010-05-31
2010-05,Medicamentos e Outros Produtos,-0.041299140648838016,5,2010-05-31
2010-05,Minerais Metálicos,-0.09016293681010963,3,2010-05-31
2010-05,"Motores , Compressores e Outros",-0.06619601537958922,2,2010-05-31
2010-05,Máq. e Equip. Construção e Agrícolas,-0.03138937003817821,1,2010-05-31
2010-05,Máq. e Equip. Industriais,-0.12034099012546189,6,2010-05-31
2010-05,Outros,-0.034606916460414805,2,2010-05-31
2010-05,Papel e Celulose,-0.1555890116106453,1,2010-05-31
2010-05,Petroquímicos,-0.14784033495801954,6,2010-05-31
2010-05,Produtos Diversos,-0.12641280474694447,3,2010-05-31
2010-05,Produtos de Cuidado Pessoal,0.02676438642897505,1,2010-05-31
2010-05,Produtos de Limpeza,-0.13187804421813487,1,2010-05-31
2010-05,Produtos para Construção,-0.019021491883729383,2,2010-05-31
2010-05,Programas e Serviços,-0.038796891066551376,4,2010-05-31
2010-05,Químicos Diversos,-0.16217805764917764,1,2010-05-31
2010-05,Seguradoras,-0.0075833734805833925,3,2010-05-31
2010-05,"Serv.Méd.Hospit.,Análises e Diagnósticos",-0.010868845042963446,6,2010-05-31
2010-05,Serviços Diversos,-0.02124482018606629,3,2010-05-31
2010-05,Serviços Educacionais,0.004347482202655091,3,2010-05-31
2010-05,Serviços Financeiros Diversos,-0.08838526516772978,3,2010-05-31
2010-05,Serviços de Apoio e Armazenagem,-0.1355454919962238,1,2010-05-31
2010-05,Siderurgia,-0.12452611512961198,5,2010-05-31
2010-05,Soc. Crédito e Financiamento,-0.05296939832561008,2,2010-05-31
2010-05,"Tecidos, Vestuário e Calçados",-0.045032102559142306,4,2010-05-31
2010-05,Telecomunicações,-0.21048817232426842,1,2010-05-31
2010-05,Transporte Hidroviário,-0.07511614360189675,2,2010-05-31
2010-05,Transporte Rodoviário,-0.10363828517414286,2,2010-05-31
2010-05,Utensílios Domésticos,-0.10821358464023279,1,2010-05-31
2010-05,Vestuário,-0.09846602138372533,3,2010-05-31
2010-05,Água e Saneamento,0.0010736603555124846,2,2010-05-31
2010-06,Acessórios,-0.04879016416943194,1,2010-06-30
2010-06,Agricultura,-0.01927453298396122,3,2010-06-30
2010-06,Alimentos Diversos,0.01664117618015269,3,2010-06-30
2010-06,Aluguel de carros,0.09355063116542928,1,2010-06-30
2010-06,Armas e Munições,0.15010445490888635,1,2010-06-30
2010-06,Artefatos de Cobre,-0.025589867853395454,1,2010-06-30
2010-06,Artefatos de Ferro e Aço,0.09019344562089138,7,2010-06-30
2010-06,Automóveis e Motocicletas,0.103972313401405,2,2010-06-30
2010-06,Açucar e Alcool,-0.04653702055781839,1,2010-06-30
2010-06,Bancos,-0.004679826083102753,21,2010-06-30
2010-06,Bicicletas,0.03959681012239802,1,2010-06-30
2010-06,Brinquedos e Jogos,-0.06290986620464334,1,2010-06-30
2010-06,Calçados,0.06753308097398181,3,2010-06-30
2010-06,Carnes e Derivados,0.009771384810584482,5,2010-06-30
2010-06,Computadores e Equipamentos,0.007465399701680993,3,2010-06-30
2010-06,Eletrodomésticos,0.07767734147565993,1,2010-06-30
2010-06,Embalagens,0.00935762238010815,2,2010-06-30
2010-06,Energia Elétrica,0.031870428310184586,25,2010-06-30
2010-06,Engenharia Consultiva,0.11091210342815105,2,2010-06-30
2010-06,Equipamentos e Serviços,-0.037490486019509994,2,2010-06-30
2010-06,Exploração de Imóveis,0.018866465578698977,12,2010-06-30
2010-06,Exploração de Rodovias,0.05392503748361436,3,2010-06-30
2010-06,"Exploração, Refino e Distribuição",0.14592741501842876,4,2010-06-30
2010-06,Fertilizantes e Defensivos,0.019864017412704865,3,2010-06-30
2010-06,Fios e Tecidos,0.015367202462887829,16,2010-06-30
2010-06,Gás,0.07646648169792214,2,2010-06-30
