variavel,coef,pvalor,ticker,r2
var_dolar,-2.131643836648811,2.9474453548129188e-05,B3SA3,0.3007411645817687
ibc_var,-1.0372291770927584,0.19969887028523692,B3SA3,0.3007411645817687
const,-0.007954830269037507,0.6922333195450859,BALM4,0.23183959314015612
delta_selic,-0.02702779802006612,0.5825359479359702,BALM4,0.23183959314015612
delta_ipca,-0.05499702342603127,0.34237367541601227,BALM4,0.23183959314015612
var_dolar,-1.8281990871965441,0.013387271257086514,BALM4,0.23183959314015612
ibc_var,0.8075345072738369,0.516457780212191,BALM4,0.23183959314015612
const,0.026788611449496895,0.032634807335180954,BAUH4,0.0840402063636767
delta_selic,-0.04229749001430681,0.19784887260564568,BAUH4,0.0840402063636767
delta_ipca,0.011361634991455071,0.7448178398394985,BAUH4,0.0840402063636767
var_dolar,-0.6792337730503429,0.04362668519536063,BAUH4,0.0840402063636767
ibc_var,-0.662927513967091,0.4148909824457625,BAUH4,0.0840402063636767
const,0.006836066614393834,0.29463405841789897,BAZA3,0.09962603037742235
delta_selic,-0.01822059615591468,0.3367927794314327,BAZA3,0.09962603037742235
delta_ipca,0.014515092540658102,0.4528139558987111,BAZA3,0.09962603037742235
var_dolar,-0.6773763000824298,0.0017405648658031156,BAZA3,0.09962603037742235
ibc_var,-0.4194832695866429,0.3835811916496785,BAZA3,0.09962603037742235
const,0.013159065237869465,0.1238843017581801,BBAS3,0.36093136036609685
delta_selic,0.005143450009895703,0.8288687974834654,BBAS3,0.36093136036609685
delta_ipca,-0.05277765356155131,0.04362601817627225,BBAS3,0.36093136036609685
var_dolar,-2.036318494676945,2.15966627681436e-12,BBAS3,0.36093136036609685
ibc_var,-0.6093020529936553,0.351616931535889,BBAS3,0.36093136036609685
const,0.012466391880969187,0.09167338600943209,BBDC4,0.30468115453357525
delta_selic,-0.005546965056207349,0.787172126853645,BBDC4,0.30468115453357525
delta_ipca,-0.05508735314510629,0.015112167369618122,BBDC4,0.30468115453357525
var_dolar,-1.5182758542257688,5.158427616869807e-10,BBDC4,0.30468115453357525
ibc_var,-0.2491871413894704,0.6585946303494385,BBDC4,0.30468115453357525
const,0.010641950027000363,0.11689575397668676,BBSE3,0.24304824483252818
delta_selic,0.007653582478390696,0.6727115344543435,BBSE3,0.24304824483252818
delta_ipca,-0.01824904227857538,0.3407294374468425,BBSE3,0.24304824483252818
var_dolar,-1.0392488129265693,1.2570134576000563e-06,BBSE3,0.24304824483252818
ibc_var,-0.31955748241239723,0.503243750641866,BBSE3,0.24304824483252818
const,-0.015493622045977706,0.28593209509184364,BDLL4,0.30706099782357743
delta_selic,0.0015451246835187574,0.9689073984059371,BDLL4,0.30706099782357743
delta_ipca,-0.1177127255148465,0.007781950113341591,BDLL4,0.30706099782357743
var_dolar,-1.7780782414058862,0.0006029326392620185,BDLL4,0.30706099782357743
ibc_var,2.1273883633873383,0.030721040670564755,BDLL4,0.30706099782357743
const,0.003443101053187366,0.746625253657758,BEEF3,0.05390052011296187
delta_selic,-0.016511552079788928,0.57966053262608,BEEF3,0.05390052011296187
delta_ipca,-0.025253384500994402,0.4372929917890366,BEEF3,0.05390052011296187
var_dolar,-0.6530245173404452,0.04677255597178719,BEEF3,0.05390052011296187
ibc_var,-1.5771043894519228,0.055608141746612896,BEEF3,0.05390052011296187
const,0.013156048361730134,0.06684599817800953,BEES3,0.169603549329427
delta_selic,-0.009690512778965921,0.6255867480974162,BEES3,0.169603549329427
delta_ipca,-0.02431549907509088,0.2632051617913127,BEES3,0.169603549329427
var_dolar,-0.9855474027596949,1.5283535160260127e-05,BEES3,0.169603549329427
ibc_var,0.1589471763062324,0.7708084294348301,BEES3,0.169603549329427
const,0.0015056502113598384,0.9252786381522023,BEMA3,0.05213389893849052
delta_selic,-0.03163151125497294,0.5657572854520154,BEMA3,0.05213389893849052
delta_ipca,0.00839881268401111,0.8950536908451223,BEMA3,0.05213389893849052
var_dolar,-0.48325874811224595,0.2302590518366334,BEMA3,0.05213389893849052
ibc_var,-1.8154895035295855,0.38005346470810863,BEMA3,0.05213389893849052
const,0.019233473242304403,0.032912038204513216,BGIP4,0.3429512042163221
delta_selic,-0.03972629811939588,0.10045719088203378,BGIP4,0.3429512042163221
delta_ipca,-0.010508091317348596,0.7172083375056955,BGIP4,0.3429512042163221
var_dolar,-1.270402974442621,9.117126414842701e-06,BGIP4,0.3429512042163221
ibc_var,1.3944756244998198,0.024730176134330692,BGIP4,0.3429512042163221
const,0.010286378979166035,0.47799975477726986,BHGR3,0.1757885940209225
delta_selic,0.0443823512546805,0.38826711705469596,BHGR3,0.1757885940209225
delta_ipca,0.11301768299971263,0.07023208597120947,BHGR3,0.1757885940209225
var_dolar,-0.7706799707088572,0.06699308998494062,BHGR3,0.1757885940209225
ibc_var,-0.6941716014545243,0.7237698311672229,BHGR3,0.1757885940209225
const,-0.025506511744319716,0.3841910665805819,BHIA3,0.23854480121693666
delta_selic,-0.053515029380222644,0.48294129549618225,BHIA3,0.23854480121693666
