ticker,ibc_var_lag
RANI3,0.3776564802381341
CMIG4,0.37951199066565205
MTSA4,0.3897101719421052
SQIA3,0.39087454284211487
ALSC3,0.39141177887357653
CLSC4,0.3964115891072633
WEST3,0.4118607829138421
CYRE3,0.41583794299453486
LCAM3,0.41805887727850854
IGTI11,0.4197625330839776
HBOR3,0.42038105551075106
BRPR3,0.42069541422563467
VIVR3,0.4328559132534821
BAUH4,0.4343392352882088
IRBR3,0.43632076637808287
ANIM3,0.43842311625887603
BDLL4,0.4389612005574016
BMKS3,0.4455790749129318
FIEI3,0.4468877664598596
WLMM4,0.4496308633518985
GGPS3,0.4568202373581991
SBSP3,0.45909682036523947
BMEB4,0.46163313612210777
COGN3,0.4729183793390946
YDUQ3,0.48098043071323204
EKTR4,0.486370769636286
ECOR3,0.49034625555492056
ENEV3,0.4994174555076903
BGIP4,0.5015988097832449
BRIV4,0.5084338278185909
FESA4,0.5106713921145942
PRNR3,0.5147490983268598
DIRR3,0.5221054456582706
AMER3,0.5292752659530806
VULC3,0.5311768939362541
BMOB3,0.5333057036239285
EMBJ3,0.536613847553206
CSMG3,0.5444527106144282
AFLT3,0.5533336711525761
ENJU3,0.5546640965499255
BPAN4,0.572272588880858
EVEN3,0.5810143281668729
EALT4,0.5922443888170612
TPIS3,0.5965617802780498
TRPN3,0.5974923023537685
MWET4,0.5988769382169645
AGRO3,0.6087480268080494
HETA4,0.610470973109732
LINX3,0.6110820500709983
CSRN3,0.6149265013772524
RDNI3,0.6233003437331335
GETI4,0.6245639264939775
CEAB3,0.6251866314766262
TERI3,0.6258630926565605
LUPA3,0.6263139968300487
TUPY3,0.6268926928866335
RNEW11,0.6333312203276079
STBP3,0.639646398787099
LIGT3,0.6410484549775728
CURY3,0.658149037305509
CSAN3,0.6609919733385771
CTAX3,0.6847230769559526
DEXP3,0.6968934185260433
GSHP3,0.7241061030219581
PLAS3,0.7384669242446065
LAVV3,0.7498856123647075
CPRE3,0.7521651312062844
BEMA3,0.7810451315861593
FRTA3,0.7930213874704956
INEP4,0.8128754279131274
PRIO3,0.8222151794098115
FIQE3,0.8244537869018852
WIZC3,0.8293665021376078
TTEN3,0.8381464201634213
BLUT4,0.8563738787108264
CEBR6,0.864000828857166
JFEN3,0.8859573238830432
CSED3,0.9085947408193926
CREM3,0.9648176643016354
VITT3,0.9721411193416918
HBSA3,1.0956708892250353
PCAR4,1.1113781097196613
FTRX4,1.1769557950090792
LJQQ3,1.2164101841505817
SOMA3,1.2259935542194063
OPCT3,1.2561035323474938
MATD3,1.2789559461962225
ALLD3,1.28400373377071
VSTE3,1.307197974217295
PETZ3,1.3193704925951808
PORT3,1.3513001509786382
AMBV4,1.3683197328349619
PLPL3,1.3762631657265076
ELMD3,1.413080862532772
NGRD3,1.4298937910976266
RDTR3,1.4410139783576572
GMAT3,1.495712439085861
SMFT3,1.512095061321429
SEDU3,1.5148652584596687
CBAV3,1.5192291704252439
HBRE3,1.5351479631905527
ELPL4,1.6015943898224883
ASAI3,1.6119993020181862
RDOR3,1.6179321040930057
SMLE3,1.6386968341243107
SNSY5,1.6433682782547787
PGMN3,1.7470023054387707
KRSA3,1.7785703706504181
DASA3,1.8104944901501738
ARND3,1.9360509206721608
ALPK3,1.973560033655321
IFCM3,2.244241750778389
BRIT3,2.5544298941988735
CLSA3,2.7884696607593593
DOTZ3,2.7959707842392305
PRML3,2.819240803244562
CCHI3,2.921751358097509
AMBP3,4.337701884636563
TRAD3,4.848100355895868
TOYB4,4.881555478561057
